JARGON,REPLACEMENT;
"more or less,""approximately";" circa"""
"vague,""""";
decreased amount of;less
decreased number of;fewer
great deal of;much
majority of;most
a number of;many, some
a small number of;a few
absolutely essential;essential
accounted for by the fact;because
adjacent to;near, next to
along the lines of;like
an adequate amount of;enough
an example of this is the fact that;for example
an order of magnitude faster;10 times as fast
apprise;inform
are of the same opinion;agree
as a consequence of;because
as a matter of fact;in fact (or leave out)
